title,link,description,category,published_at
" Tăng số lượng Thứ trưởng, phó thủ trưởng cơ quan ngang Bộ",https://vnexpress.net/tang-so-luong-thu-truong-pho-thu-truong-co-quan-ngang-bo-4849721.html,"Ủy ban Thường vụ Quốc hội quyết nghị tăng số lượng Thứ trưởng, phó thủ trưởng cơ quan ngang bộ nhằm đáp ứng yêu cầu sắp xếp cán bộ sau tinh gọn bộ máy.",,1h trước
Ống hút nhựa của ông Trump,https://vnexpress.net/ong-hut-nhua-cua-ong-trump-4849295.html,Thái độ cự tuyệt của ông Trump với ống hút giấy nói lên điều gì về 'cuộc chiến' ống hút nhựa - ống hút giấy?,,
Thủ tướng: Có thể phải hy sinh một phần lạm phát để đạt mục tiêu tăng trưởng cao,https://vnexpress.net/thu-tuong-co-the-phai-hy-sinh-mot-phan-lam-phat-de-dat-muc-tieu-tang-truong-cao-4849654.html,"Thủ tướng Phạm Minh Chính cho rằng việc thúc đẩy GDP cao hơn để đất nước không dừng lại ở ""tăng trưởng bình bình"" và có thể phải hy sinh một phần lạm phát để đạt mục tiêu này.",,
Mỹ xem xét phương án đưa quân đến Ukraine,https://vnexpress.net/my-xem-xet-phuong-an-dua-quan-den-ukraine-4849592.html,"Ông Vance khẳng định Mỹ xem xét mọi phương án, kể cả triển khai quân đến Ukraine và trừng phạt kinh tế Nga, nếu Moskva từ chối hòa đàm ""thiện chí"" với Kiev.",,
Lời khai của nghi can cướp tiệm vàng ở Lâm Đồng,https://vnexpress.net/loi-khai-cua-nghi-can-cuop-tiem-vang-o-lam-dong-4849710.html,"Phạm Thành Chung, 33 tuổi, khai sau khi cướp tiệm vàng Như Ngọc Châu đã thay biển số xe, quần áo, chạy lòng vòng nhiều tuyến đường để đánh lạc hướng cảnh sát.",,
Sàn tiền số đồng loạt hủy niêm yết Pi Network 'ghi nợ',https://vnexpress.net/san-tien-so-dong-loat-huy-niem-yet-pi-network-ghi-no-4849643.html,"Nhiều sàn tiền số niêm yết tiền ảo Pi dạng ghi nợ (IOU) đồng loạt thông báo hủy token này ""để bảo vệ quyền lợi người dùng"".",,
Ninh Thuận muốn thêm cơ chế đặc thù khi làm nhà máy điện hạt nhân,https://vnexpress.net/ninh-thuan-muon-them-co-che-dac-thu-khi-lam-nha-may-dien-hat-nhan-4849692.html,"Ngoài các cơ chế đặc thù Chính phủ đề nghị, tỉnh Ninh Thuận muốn có thêm 5 chính sách nữa để thuận lợi khi làm dự án điện hạt nhân tại đây.",,
Sao Việt đón Valentine,https://vnexpress.net/sao-viet-don-valentine-4849596.html,"Ca sĩ Lệ Quyên, diễn viên Trấn Thành, Midu nhận lời yêu thương, món quà ý nghĩa do bạn đời tặng trong ngày Lễ Tình nhân.",,
Thái Lan và Indonesia thua đậm ở trận ra quân U20 châu Á 2025,https://vnexpress.net/thai-lan-va-indonesia-thua-dam-o-tran-ra-quan-u20-chau-a-2025-4849679.html,"Thái Lan thua Nhật Bản 0-3 ở lượt ra quân bảng D U20 châu Á 2025 vào chiều nay 14/2, nối gót Indonesia thua Iran cùng tỷ số trong hôm qua.",,
"Ukraine tố Nga tập kích nhà máy hạt nhân Chernobyl, Moskva bác bỏ",https://vnexpress.net/ukraine-to-nga-tap-kich-nha-may-hat-nhan-chernobyl-moskva-bac-bo-4849675.html,"Ukraine nói Nga phóng UAV trúng vòm che dùng để cô lập phóng xạ tại lò phản ứng số 4 của nhà máy hạt nhân Chernobyl, song Moskva bác bỏ.",,
Tập đoàn SK muốn tham gia loạt dự án năng lượng tại Việt Nam,https://vnexpress.net/tap-doan-sk-muon-tham-gia-loat-du-an-nang-luong-tai-viet-nam-4849699.html,"SK Group - chaebol lớn thứ hai Hàn Quốc - muốn tham gia các dự án lò phát ứng hạt nhân module cỡ nhỏ, hạ tầng điện khí LNG tại Việt Nam.",,
Vinhomes dự kiến làm khu đô thị hơn 3 tỷ USD tại Long An từ 2026,https://vnexpress.net/vinhomes-du-kien-lam-khu-do-thi-hon-3-ty-usd-tai-long-an-tu-2026-4849696.html,"Vinhomes có thể xây dựng hạ tầng khu đô thị mới Phước Vĩnh Tây, tổng vốn hơn 80.000 tỷ đồng từ năm 2026 và hoàn thành cuối 2030.",,
Xe trên 16 chỗ 'khuấy đảo' phố cổ Hà Nội,https://vnexpress.net/xe-tren-16-cho-khuay-dao-pho-co-ha-noi-4848784.html,"Hoạt động rầm rộ vào các khung giờ cao điểm, xe du lịch trên 16 chỗ chiếm gần hết lòng đường phố cổ Hà Nội, gây ùn tắc giao thông, ô nhiễm môi trường.",,
Công chức bị tinh giản tìm việc,https://vnexpress.net/cong-chuc-bi-tinh-gian-tim-viec-4849234.html,"Đơn vị giải thể, anh Thái ở TP HCM, có 16 năm gắn bó nhà nước, thấy vui vì số tiền hỗ trợ gần một tỷ đồng nhưng lo chưa biết tìm việc mới ra sao khi đã 40 tuổi.",,
15 lãnh đạo cấp phòng của Công an Đà Nẵng nghỉ hưu trước tuổi,https://vnexpress.net/15-lanh-dao-cap-phong-cua-cong-an-da-nang-nghi-huu-truoc-tuoi-4849567.html,"6 trưởng phòng, 9 phó phòng trong độ tuổi 57-60 đã viết đơn xin nghỉ hưu trước tuổi từ ngày 1/3 để sắp xếp tinh gọn bộ máy.",,
Tòa yêu cầu chính quyền Trump khôi phục viện trợ nước ngoài,https://vnexpress.net/toa-yeu-cau-chinh-quyen-trump-khoi-phuc-vien-tro-nuoc-ngoai-4849579.html,"Thẩm phán liên bang yêu cầu chính quyền Trump khôi phục nguồn tiền cho hàng trăm nhóm viện trợ nước ngoài nhằm tránh ""tổn hại không thể khắc phục"".",,
Thủ tướng: Bỏ công an cấp huyện để tăng cường lực lượng cho cơ sở,https://vnexpress.net/thu-tuong-bo-cong-an-cap-huyen-de-tang-cuong-luc-luong-cho-co-so-4849640.html,"Thủ tướng Phạm Minh Chính cho biết chủ trương bỏ công an cấp huyện nhằm tăng cường cán bộ ở cấp xã - cấp gần dân, hiểu dân nhất.",,
Không miễn phí trạm BOT Bến Thủy I với người dân vùng mới sáp nhập vào TP Vinh,https://vnexpress.net/khong-mien-phi-tram-bot-ben-thuy-i-voi-nguoi-dan-vung-moi-sap-nhap-vao-tp-vinh-4849668.html,Nhà chức trách không miễn phí qua trạm BOT Bến Thủy I với người dân 11 xã phường mới sáp nhập vào TP Vinh vì lo mất cân đối tài chính.,,
Chuyện tình của chàng trai ghép mặt và nữ y tá xinh đẹp,https://vnexpress.net/chuyen-tinh-cua-chang-trai-ghep-mat-va-nu-y-ta-xinh-dep-4849208.html,"Tháng 7/2018, khi bước sang tuổi 18, Joe Dimeo bị tai nạn giao thông, bỏng cấp độ 3, phải trải qua 20 ca phẫu thuật tái tạo ghép da và chỉnh hình.",,
Tài xế hành hung nam shipper ở Hà Nội bị khởi tố,https://vnexpress.net/tai-xe-hanh-hung-nam-shipper-o-ha-noi-bi-khoi-to-4849481.html,"Tống Anh Tuấn, 43 tuổi, bị cáo buộc đang điều khiển ôtô Lexus thì xảy ra va quẹt nên đấm, đá liên tiếp vào mặt, vùng đầu nam shipper, gây thương tích 3%.",,
Doanh nghiệp yêu cầu công nhân đóng bảo hiểm bằng cà phê,https://vnexpress.net/doanh-nghiep-yeu-cau-cong-nhan-dong-bao-hiem-bang-ca-phe-4849587.html,"Công ty cà phê Ia Sao 1 và 706 (thuộc Tổng công ty Cà phê Việt Nam) yêu cầu mỗi công nhân đóng bảo hiểm xã hội bằng 1,7 tấn cà phê thay vì 15-18 triệu như trước.",,
"Đề xuất 'chỉ phân quyền cho địa phương đủ năng lực tài chính, quản trị'",https://vnexpress.net/de-xuat-chi-phan-quyen-cho-dia-phuong-du-nang-luc-tai-chinh-quan-tri-4849431.html,"Đại biểu Trần Văn Khải đề xuất bổ sung nguyên tắc phân quyền có điều kiện cho các địa phương - chỉ phân quyền cho tỉnh thành có đủ năng lực tài chính, nhân lực quản trị.",,
Hộp quà kèm Baby Three trở thành 'cơn sốt' mùa Valentine,https://vnexpress.net/hop-qua-kem-baby-three-tro-thanh-con-sot-mua-valentine-4849463.html,Nhiều cửa hàng tung hộp quà Valentine độc đáo kèm nhân vật này với giá tới hàng triệu đồng vẫn đắt khách.,,
Elon Musk đưa bạn gái và ba con tới gặp Thủ tướng Ấn Độ,https://vnexpress.net/elon-musk-dua-ban-gai-va-ba-con-toi-gap-thu-tuong-an-do-4849568.html,Elon Musk đưa bạn gái và ba con tới Nhà khách Blair ở Washington gặp Thủ tướng Modi bàn về công nghệ vũ trụ và sách lược của Ấn Độ.,,
Khoảnh khắc nhóm lừa đảo hàng trăm tỷ đồng bị bắt giữ ở sân bay,https://video.vnexpress.net/khoanh-khac-nhom-lua-dao-hang-tram-ty-dong-bi-bat-giu-o-san-bay-4849302.html,"Hàng chục người trong đường dây lừa đảo đầu tư tiền điện tử ở Campuchia và Philippines về Việt Nam, bị công an bắt giữ ngay tại sân bay Tân Sơn Nhất và Nội Bài.",,
